"CUB","overall","home","40 to 44","30 to 34",0.10586
"CUB","overall","home","45 to 49","30 to 34",0.08072
"CUB","overall","home","50 to 54","30 to 34",0.26603
"CUB","overall","home","55 to 59","30 to 34",0.64112
"CUB","overall","home","60 to 64","30 to 34",0.50538
"CUB","overall","home","65 to 69","30 to 34",0.56778
"CUB","overall","home","70 to 74","30 to 34",0.27721
"CUB","overall","home","75+","30 to 34",0.17447
"CUB","overall","home","0 to 4","35 to 39",0.29865
"CUB","overall","home","5 to 9","35 to 39",0.37947
"CUB","overall","home","10 to 14","35 to 39",0.31698
"CUB","overall","home","15 to 19","35 to 39",0.19011
"CUB","overall","home","20 to 24","35 to 39",0.03219
"CUB","overall","home","25 to 29","35 to 39",0.04534
"CUB","overall","home","30 to 34","35 to 39",0.21247
"CUB","overall","home","35 to 39","35 to 39",0.48909
"CUB","overall","home","40 to 44","35 to 39",0.16051
"CUB","overall","home","45 to 49","35 to 39",0.15716
"CUB","overall","home","50 to 54","35 to 39",0.11556
"CUB","overall","home","55 to 59","35 to 39",0.23328
"CUB","overall","home","60 to 64","35 to 39",0.39041
"CUB","overall","home","65 to 69","35 to 39",0.63771
"CUB","overall","home","70 to 74","35 to 39",0.58715
"CUB","overall","home","75+","35 to 39",0.34549
"CUB","overall","home","0 to 4","40 to 44",0.14337
"CUB","overall","home","5 to 9","40 to 44",0.2528
"CUB","overall","home","10 to 14","40 to 44",0.30416
"CUB","overall","home","15 to 19","40 to 44",0.30342
"CUB","overall","home","20 to 24","40 to 44",0.13928
"CUB","overall","home","25 to 29","40 to 44",0.02681
"CUB","overall","home","30 to 34","40 to 44",0.08671
"CUB","overall","home","35 to 39","40 to 44",0.14165
"CUB","overall","home","40 to 44","40 to 44",0.38822
"CUB","overall","home","45 to 49","40 to 44",0.221
"CUB","overall","home","50 to 54","40 to 44",0.17058
"CUB","overall","home","55 to 59","40 to 44",0.11378
"CUB","overall","home","60 to 64","40 to 44",0.19587
"CUB","overall","home","65 to 69","40 to 44",0.48625
"CUB","overall","home","70 to 74","40 to 44",0.54803
"CUB","overall","home","75+","40 to 44",0.35249
"CUB","overall","home","0 to 4","45 to 49",0.06894
"CUB","overall","home","5 to 9","45 to 49",0.11288
"CUB","overall","home","10 to 14","45 to 49",0.15474
"CUB","overall","home","15 to 19","45 to 49",0.288
"CUB","overall","home","20 to 24","45 to 49",0.29065
"CUB","overall","home","25 to 29","45 to 49",0.09967
"CUB","overall","home","30 to 34","45 to 49",0.034
"CUB","overall","home","35 to 39","45 to 49",0.04565
"CUB","overall","home","40 to 44","45 to 49",0.1267
"CUB","overall","home","45 to 49","45 to 49",0.60291
"CUB","overall","home","50 to 54","45 to 49",0.27567
"CUB","overall","home","55 to 59","45 to 49",0.23288
"CUB","overall","home","60 to 64","45 to 49",0.09361
"CUB","overall","home","65 to 69","45 to 49",0.16536
"CUB","overall","home","70 to 74","45 to 49",0.41528
"CUB","overall","home","75+","45 to 49",0.34826
"CUB","overall","home","0 to 4","50 to 54",0.08852
"CUB","overall","home","5 to 9","50 to 54",0.06323
"CUB","overall","home","10 to 14","50 to 54",0.06584
"CUB","overall","home","15 to 19","50 to 54",0.1554
"CUB","overall","home","20 to 24","50 to 54",0.20275
"CUB","overall","home","25 to 29","50 to 54",0.19066
"CUB","overall","home","30 to 34","50 to 54",0.07088
"CUB","overall","home","35 to 39","50 to 54",0.03462
"CUB","overall","home","40 to 44","50 to 54",0.04955
"CUB","overall","home","45 to 49","50 to 54",0.222
"CUB","overall","home","50 to 54","50 to 54",0.62631
"CUB","overall","home","55 to 59","50 to 54",0.37016
"CUB","overall","home","60 to 64","50 to 54",0.16948
"CUB","overall","home","65 to 69","50 to 54",0.17443
"CUB","overall","home","70 to 74","50 to 54",0.27523
"CUB","overall","home","75+","50 to 54",0.38825
"CUB","overall","home","0 to 4","55 to 59",0.07087
"CUB","overall","home","5 to 9","55 to 59",0.07388
"CUB","overall","home","10 to 14","55 to 59",0.03014
"CUB","overall","home","15 to 19","55 to 59",0.05147
"CUB","overall","home","20 to 24","55 to 59",0.08948
"CUB","overall","home","25 to 29","55 to 59",0.10976
"CUB","overall","home","30 to 34","55 to 59",0.09971
"CUB","overall","home","35 to 39","55 to 59",0.03648
"CUB","overall","home","40 to 44","55 to 59",0.01327
"CUB","overall","home","45 to 49","55 to 59",0.05435
"CUB","overall","home","50 to 54","55 to 59",0.22741
"CUB","overall","home","55 to 59","55 to 59",0.66135
"CUB","overall","home","60 to 64","55 to 59",0.2435
"CUB","overall","home","65 to 69","55 to 59",0.20011
"CUB","overall","home","70 to 74","55 to 59",0.13389
"CUB","overall","home","75+","55 to 59",0.1581
"CUB","overall","home","0 to 4","60 to 64",0.05044
"CUB","overall","home","5 to 9","60 to 64",0.04921
"CUB","overall","home","10 to 14","60 to 64",0.02254
"CUB","overall","home","15 to 19","60 to 64",0.02721
"CUB","overall","home","20 to 24","60 to 64",0.02559
"CUB","overall","home","25 to 29","60 to 64",0.05485
"CUB","overall","home","30 to 34","60 to 64",0.08896
"CUB","overall","home","35 to 39","60 to 64",0.06157
"CUB","overall","home","40 to 44","60 to 64",0.04014
"CUB","overall","home","45 to 49","60 to 64",0.03186
"CUB","overall","home","50 to 54","60 to 64",0.06061
"CUB","overall","home","55 to 59","60 to 64",0.22692
"CUB","overall","home","60 to 64","60 to 64",0.38762
"CUB","overall","home","65 to 69","60 to 64",0.21046
"CUB","overall","home","70 to 74","60 to 64",0.20568
"CUB","overall","home","75+","60 to 64",0.06739
"CUB","overall","home","0 to 4","65 to 69",0.01827
"CUB","overall","home","5 to 9","65 to 69",0.02345
"CUB","overall","home","10 to 14","65 to 69",0.02131
"CUB","overall","home","15 to 19","65 to 69",0.0165
"CUB","overall","home","20 to 24","65 to 69",0.00772
"CUB","overall","home","25 to 29","65 to 69",0.01755
"CUB","overall","home","30 to 34","65 to 69",0.0205
"CUB","overall","home","35 to 39","65 to 69",0.03758
"CUB","overall","home","40 to 44","65 to 69",0.03931
"CUB","overall","home","45 to 49","65 to 69",0.02593
"CUB","overall","home","50 to 54","65 to 69",0.02386
"CUB","overall","home","55 to 59","65 to 69",0.08815
"CUB","overall","home","60 to 64","65 to 69",0.13599
"CUB","overall","home","65 to 69","65 to 69",0.38993
"CUB","overall","home","70 to 74","65 to 69",0.17597
"CUB","overall","home","75+","65 to 69",0.11672
"CUB","overall","home","0 to 4","70 to 74",0.00724
"CUB","overall","home","5 to 9","70 to 74",0.01202
"CUB","overall","home","10 to 14","70 to 74",0.01742
"CUB","overall","home","15 to 19","70 to 74",0.00871
"CUB","overall","home","20 to 24","70 to 74",0.00757
"CUB","overall","home","25 to 29","70 to 74",0.00384
"CUB","overall","home","30 to 34","70 to 74",0.01166
"CUB","overall","home","35 to 39","70 to 74",0.01768
"CUB","overall","home","40 to 44","70 to 74",0.01698
"CUB","overall","home","45 to 49","70 to 74",0.02431
"CUB","overall","home","50 to 54","70 to 74",0.02438
"CUB","overall","home","55 to 59","70 to 74",0.0188
"CUB","overall","home","60 to 64","70 to 74",0.03476
"CUB","overall","home","65 to 69","70 to 74",0.09965
"CUB","overall","home","70 to 74","70 to 74",0.28734
"CUB","overall","home","75+","70 to 74",0.08471
"CUB","overall","home","0 to 4","75+",0.01017
"CUB","overall","home","5 to 9","75+",0.0112
"CUB","overall","home","10 to 14","75+",0.00985
"CUB","overall","home","15 to 19","75+",0.00897
"CUB","overall","home","20 to 24","75+",0.01
"CUB","overall","home","25 to 29","75+",0.01021
"CUB","overall","home","30 to 34","75+",0.00697
"CUB","overall","home","35 to 39","75+",0.00557
"CUB","overall","home","40 to 44","75+",0.01087
"CUB","overall","home","45 to 49","75+",0.04019
"CUB","overall","home","50 to 54","75+",0.05313
"CUB","overall","home","55 to 59","75+",0.04142
"CUB","overall","home","60 to 64","75+",0.0085
"CUB","overall","home","65 to 69","75+",0.02274
"CUB","overall","home","70 to 74","75+",0.11891
"CUB","overall","home","75+","75+",0.09857
"CUB","overall","work","0 to 4","0 to 4",0
"CUB","overall","work","5 to 9","0 to 4",0
"CUB","overall","work","10 to 14","0 to 4",0
"CUB","overall","work","15 to 19","0 to 4",0
"CUB","overall","work","20 to 24","0 to 4",0
"CUB","overall","work","25 to 29","0 to 4",0
"CUB","overall","work","30 to 34","0 to 4",0
"CUB","overall","work","35 to 39","0 to 4",0
"CUB","overall","work","40 to 44","0 to 4",0
"CUB","overall","work","45 to 49","0 to 4",0
"CUB","overall","work","50 to 54","0 to 4",0
"CUB","overall","work","55 to 59","0 to 4",0
"CUB","overall","work","60 to 64","0 to 4",0
"CUB","overall","work","65 to 69","0 to 4",0
"CUB","overall","work","70 to 74","0 to 4",0
"CUB","overall","work","75+","0 to 4",0
"CUB","overall","work","0 to 4","5 to 9",0
"CUB","overall","work","5 to 9","5 to 9",0
"CUB","overall","work","10 to 14","5 to 9",0
"CUB","overall","work","15 to 19","5 to 9",0
"CUB","overall","work","20 to 24","5 to 9",0
"CUB","overall","work","25 to 29","5 to 9",0
"CUB","overall","work","30 to 34","5 to 9",0
"CUB","overall","work","35 to 39","5 to 9",0
"CUB","overall","work","40 to 44","5 to 9",0
"CUB","overall","work","45 to 49","5 to 9",0
"CUB","overall","work","50 to 54","5 to 9",0
"CUB","overall","work","55 to 59","5 to 9",0
"CUB","overall","work","60 to 64","5 to 9",0
"CUB","overall","work","65 to 69","5 to 9",0
"CUB","overall","work","70 to 74","5 to 9",0
"CUB","overall","work","75+","5 to 9",0
"CUB","overall","work","0 to 4","10 to 14",0
"CUB","overall","work","5 to 9","10 to 14",0
"CUB","overall","work","10 to 14","10 to 14",0
"CUB","overall","work","15 to 19","10 to 14",0
"CUB","overall","work","20 to 24","10 to 14",0
"CUB","overall","work","25 to 29","10 to 14",0
"CUB","overall","work","30 to 34","10 to 14",0
"CUB","overall","work","35 to 39","10 to 14",0
"CUB","overall","work","40 to 44","10 to 14",0
"CUB","overall","work","45 to 49","10 to 14",0
"CUB","overall","work","50 to 54","10 to 14",0
"CUB","overall","work","55 to 59","10 to 14",0
"CUB","overall","work","60 to 64","10 to 14",0
"CUB","overall","work","65 to 69","10 to 14",0
"CUB","overall","work","70 to 74","10 to 14",0
"CUB","overall","work","75+","10 to 14",0
"CUB","overall","work","0 to 4","15 to 19",0
"CUB","overall","work","5 to 9","15 to 19",0
"CUB","overall","work","10 to 14","15 to 19",0
"CUB","overall","work","15 to 19","15 to 19",0.02023
"CUB","overall","work","20 to 24","15 to 19",0.04999
"CUB","overall","work","25 to 29","15 to 19",0.04876
"CUB","overall","work","30 to 34","15 to 19",0.02907
"CUB","overall","work","35 to 39","15 to 19",0.05909
"CUB","overall","work","40 to 44","15 to 19",0.03796
"CUB","overall","work","45 to 49","15 to 19",0.0475
"CUB","overall","work","50 to 54","15 to 19",0.04057
"CUB","overall","work","55 to 59","15 to 19",0.02922
"CUB","overall","work","60 to 64","15 to 19",0.00425
"CUB","overall","work","65 to 69","15 to 19",0.00176
"CUB","overall","work","70 to 74","15 to 19",0.00033
"CUB","overall","work","75+","15 to 19",0
"CUB","overall","work","0 to 4","20 to 24",0
"CUB","overall","work","5 to 9","20 to 24",0
"CUB","overall","work","10 to 14","20 to 24",0
"CUB","overall","work","15 to 19","20 to 24",0.07417
"CUB","overall","work","20 to 24","20 to 24",0.44273
"CUB","overall","work","25 to 29","20 to 24",0.46755
"CUB","overall","work","30 to 34","20 to 24",0.35742
"CUB","overall","work","35 to 39","20 to 24",0.30215
"CUB","overall","work","40 to 44","20 to 24",0.36579
"CUB","overall","work","45 to 49","20 to 24",0.24958
"CUB","overall","work","50 to 54","20 to 24",0.23722
"CUB","overall","work","55 to 59","20 to 24",0.1713
"CUB","overall","work","60 to 64","20 to 24",0.0731
"CUB","overall","work","65 to 69","20 to 24",0.01182
"CUB","overall","work","70 to 74","20 to 24",0.00102
"CUB","overall","work","75+","20 to 24",0.00284
"CUB","overall","work","0 to 4","25 to 29",0
"CUB","overall","work","5 to 9","25 to 29",0
"CUB","overall","work","10 to 14","25 to 29",0
"CUB","overall","work","15 to 19","25 to 29",0.04733
"CUB","overall","work","20 to 24","25 to 29",0.47085
"CUB","overall","work","25 to 29","25 to 29",0.87372
"CUB","overall","work","30 to 34","25 to 29",0.65396
"CUB","overall","work","35 to 39","25 to 29",0.62597
"CUB","overall","work","40 to 44","25 to 29",0.63676
"CUB","overall","work","45 to 49","25 to 29",0.4792
"CUB","overall","work","50 to 54","25 to 29",0.5513
"CUB","overall","work","55 to 59","25 to 29",0.34966
"CUB","overall","work","60 to 64","25 to 29",0.14458
"CUB","overall","work","65 to 69","25 to 29",0.03364
"CUB","overall","work","70 to 74","25 to 29",0.00147
"CUB","overall","work","75+","25 to 29",0.00325
"CUB","overall","work","0 to 4","30 to 34",0
"CUB","overall","work","5 to 9","30 to 34",0
"CUB","overall","work","10 to 14","30 to 34",0
"CUB","overall","work","15 to 19","30 to 34",0.04868
"CUB","overall","work","20 to 24","30 to 34",0.43355
"CUB","overall","work","25 to 29","30 to 34",0.68976
"CUB","overall","work","30 to 34","30 to 34",0.94417
"CUB","overall","work","35 to 39","30 to 34",0.73951
"CUB","overall","work","40 to 44","30 to 34",0.82861
"CUB","overall","work","45 to 49","30 to 34",0.67785
"CUB","overall","work","50 to 54","30 to 34",0.70899
"CUB","overall","work","55 to 59","30 to 34",0.53636
"CUB","overall","work","60 to 64","30 to 34",0.17572
"CUB","overall","work","65 to 69","30 to 34",0.03422
"CUB","overall","work","70 to 74","30 to 34",0.00274
"CUB","overall","work","75+","30 to 34",0.0036
"CUB","overall","work","0 to 4","35 to 39",0
"CUB","overall","work","5 to 9","35 to 39",0
"CUB","overall","work","10 to 14","35 to 39",0
"CUB","overall","work","15 to 19","35 to 39",0.04612
"CUB","overall","work","20 to 24","35 to 39",0.48682
"CUB","overall","work","25 to 29","35 to 39",0.68631
"CUB","overall","work","30 to 34","35 to 39",0.84384
"CUB","overall","work","35 to 39","35 to 39",1.0414
"CUB","overall","work","40 to 44","35 to 39",0.90369
"CUB","overall","work","45 to 49","35 to 39",0.75948
"CUB","overall","work","50 to 54","35 to 39",0.7524
"CUB","overall","work","55 to 59","35 to 39",0.51539
"CUB","overall","work","60 to 64","35 to 39",0.21163
"CUB","overall","work","65 to 69","35 to 39",0.01406
"CUB","overall","work","70 to 74","35 to 39",0.00315
"CUB","overall","work","75+","35 to 39",0.00659
"CUB","overall","work","0 to 4","40 to 44",0
"CUB","overall","work","5 to 9","40 to 44",0
"CUB","overall","work","10 to 14","40 to 44",0
"CUB","overall","work","15 to 19","40 to 44",0.05284
"CUB","overall","work","20 to 24","40 to 44",0.37804
"CUB","overall","work","25 to 29","40 to 44",0.65213
"CUB","overall","work","30 to 34","40 to 44",0.77781
"CUB","overall","work","35 to 39","40 to 44",1.04205
"CUB","overall","work","40 to 44","40 to 44",1.13873
"CUB","overall","work","45 to 49","40 to 44",0.80815
"CUB","overall","work","50 to 54","40 to 44",1.0479
"CUB","overall","work","55 to 59","40 to 44",0.67767
"CUB","overall","work","60 to 64","40 to 44",0.23536
"CUB","overall","work","65 to 69","40 to 44",0.03256
"CUB","overall","work","70 to 74","40 to 44",0.00285
"CUB","overall","work","75+","40 to 44",0.00222
"CUB","overall","work","0 to 4","45 to 49",0
"CUB","overall","work","5 to 9","45 to 49",0
"CUB","overall","work","10 to 14","45 to 49",0
"CUB","overall","work","15 to 19","45 to 49",0.04171
"CUB","overall","work","20 to 24","45 to 49",0.30311
"CUB","overall","work","25 to 29","45 to 49",0.45772
"CUB","overall","work","30 to 34","45 to 49",0.63573
"CUB","overall","work","35 to 39","45 to 49",0.72192
"CUB","overall","work","40 to 44","45 to 49",0.91599
"CUB","overall","work","45 to 49","45 to 49",0.78961
"CUB","overall","work","50 to 54","45 to 49",1.0119
"CUB","overall","work","55 to 59","45 to 49",0.53518
"CUB","overall","work","60 to 64","45 to 49",0.23007
"CUB","overall","work","65 to 69","45 to 49",0.02811
"CUB","overall","work","70 to 74","45 to 49",0.00237
"CUB","overall","work","75+","45 to 49",0.00079
"CUB","overall","work","0 to 4","50 to 54",0
"CUB","overall","work","5 to 9","50 to 54",0
"CUB","overall","work","10 to 14","50 to 54",0
"CUB","overall","work","15 to 19","50 to 54",0.0285
"CUB","overall","work","20 to 24","50 to 54",0.26932
"CUB","overall","work","25 to 29","50 to 54",0.43782
"CUB","overall","work","30 to 34","50 to 54",0.44623
"CUB","overall","work","35 to 39","50 to 54",0.61167
"CUB","overall","work","40 to 44","50 to 54",0.7661
"CUB","overall","work","45 to 49","50 to 54",0.59186
"CUB","overall","work","50 to 54","50 to 54",0.89457
"CUB","overall","work","55 to 59","50 to 54",0.57737
"CUB","overall","work","60 to 64","50 to 54",0.20456
"CUB","overall","work","65 to 69","50 to 54",0.03746
"CUB","overall","work","70 to 74","50 to 54",0.00168
"CUB","overall","work","75+","50 to 54",0.00084
"CUB","overall","work","0 to 4","55 to 59",0
"CUB","overall","work","5 to 9","55 to 59",0
"CUB","overall","work","10 to 14","55 to 59",0
"CUB","overall","work","15 to 19","55 to 59",0.01407
"CUB","overall","work","20 to 24","55 to 59",0.12874
"CUB","overall","work","25 to 29","55 to 59",0.21046
"CUB","overall","work","30 to 34","55 to 59",0.2709
"CUB","overall","work","35 to 39","55 to 59",0.25324
"CUB","overall","work","40 to 44","55 to 59",0.27655
"CUB","overall","work","45 to 49","55 to 59",0.31335
"CUB","overall","work","50 to 54","55 to 59",0.45156
"CUB","overall","work","55 to 59","55 to 59",0.3759
"CUB","overall","work","60 to 64","55 to 59",0.16429
"CUB","overall","work","65 to 69","55 to 59",0.02101
"CUB","overall","work","70 to 74","55 to 59",0.00289
"CUB","overall","work","75+","55 to 59",0
"CUB","overall","work","0 to 4","60 to 64",0
"CUB","overall","work","5 to 9","60 to 64",0
"CUB","overall","work","10 to 14","60 to 64",0
"CUB","overall","work","15 to 19","60 to 64",0.00342
"CUB","overall","work","20 to 24","60 to 64",0.04313
"CUB","overall","work","25 to 29","60 to 64",0.06384
"CUB","overall","work","30 to 34","60 to 64",0.06595
"CUB","overall","work","35 to 39","60 to 64",0.04763
"CUB","overall","work","40 to 44","60 to 64",0.07183
"CUB","overall","work","45 to 49","60 to 64",0.05728
"CUB","overall","work","50 to 54","60 to 64",0.07816
"CUB","overall","work","55 to 59","60 to 64",0.07903
"CUB","overall","work","60 to 64","60 to 64",0.0291
"CUB","overall","work","65 to 69","60 to 64",0.00773
"CUB","overall","work","70 to 74","60 to 64",7e-04
"CUB","overall","work","75+","60 to 64",0
"CUB","overall","work","0 to 4","65 to 69",0
"CUB","overall","work","5 to 9","65 to 69",0
"CUB","overall","work","10 to 14","65 to 69",0
"CUB","overall","work","15 to 19","65 to 69",0.00064
"CUB","overall","work","20 to 24","65 to 69",0.0037
"CUB","overall","work","25 to 29","65 to 69",0.00685
"CUB","overall","work","30 to 34","65 to 69",0.00774
"CUB","overall","work","35 to 39","65 to 69",0.00593
"CUB","overall","work","40 to 44","65 to 69",0.00707
"CUB","overall","work","45 to 49","65 to 69",0.00768
"CUB","overall","work","50 to 54","65 to 69",0.00574
"CUB","overall","work","55 to 59","65 to 69",0.00534
"CUB","overall","work","60 to 64","65 to 69",0.00337
"CUB","overall","work","65 to 69","65 to 69",0.00054
"CUB","overall","work","70 to 74","65 to 69",1e-04
"CUB","overall","work","75+","65 to 69",6e-05
